# Converted from libieeep1788/test/p1788/infsup/test_p1788_infsup_test_integration_mpfr_bin_ieee754_flavor_set_op.cpp
* intersection
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.800000p+1  ] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_com | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_com
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_com | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]_com
[+0x1.000000p+0  ,+0x1.800000p+1  ]_com | []_trv
* convexHull
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.800000p+1  ] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_com | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_com
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_com | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]_com
[+0x1.000000p+0  ,+0x1.800000p+1  ]_com | []_trv
