# Converted from libieeep1788/test/p1788/flavor/infsup/setbased/test_mpfr_bin_ieee754_flavor_elem_func.cpp
* pos
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[]
[-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+inf                    ]
[-inf                    ,-0x1.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x1.4000000000000p+1   ,-0x0.0000000000000p+0   ]
[-0x1.4000000000000p+1   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x1.99999c0000000p+4   ,+0x1.9999999999999p-4   ]
[-0x1.99999c0000000p+4   ,+0x1.fffffffffffffp+1023]
[]_ill
[]_trv
[-inf                    ,+inf                    ]_dac
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com
[-0x1.99999c0000000p+4   ,+0x1.9999999999999p-4   ]_com
* neg
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[]
[-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+inf                    ]
[-inf                    ,+0x1.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ]
[-0x1.0000000000000p+1   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[-0x1.99999c0000000p+4   ,+0x1.9999999999999p-4   ]
[-0x1.99999c0000000p+4   ,+0x1.fffffffffffffp+1023]
[]_ill
[]_trv
[-inf                    ,+inf                    ]_dac
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com
[-0x1.99999c0000000p+4   ,+0x1.9999999999999p-4   ]_com
* add
[] | []
[-0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ] | []
[] | [-0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ]
[] | [-inf                    ,+inf                    ]
[-inf                    ,+inf                    ] | []
[-inf                    ,+inf                    ] | [-inf                    ,+0x1.0000000000000p+0   ]
[-inf                    ,+inf                    ] | [-0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ]
[-inf                    ,+inf                    ] | [-0x1.0000000000000p+0   ,+inf                    ]
[-inf                    ,+inf                    ] | [-inf                    ,+inf                    ]
[-inf                    ,+0x1.0000000000000p+0   ] | [-inf                    ,+inf                    ]
[-0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ] | [-inf                    ,+inf                    ]
[-0x1.0000000000000p+0   ,+inf                    ] | [-inf                    ,+inf                    ]
[-inf                    ,+0x1.0000000000000p+1   ] | [-inf                    ,+0x1.0000000000000p+2   ]
[-inf                    ,+0x1.0000000000000p+1   ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[-inf                    ,+0x1.0000000000000p+1   ] | [+0x1.8000000000000p+1   ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [-inf                    ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x1.8000000000000p+1   ,+inf                    ]
[+0x1.0000000000000p+0   ,+inf                    ] | [-inf                    ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+inf                    ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+inf                    ] | [+0x1.8000000000000p+1   ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.fffffffffffffp+1023] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[-0x1.fffffffffffffp+1023,+0x1.0000000000000p+1   ] | [-0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[-0x1.fffffffffffffp+1023,+0x1.0000000000000p+1   ] | [-0x1.8000000000000p+1   ,+0x1.fffffffffffffp+1023]
[+0x1.0000000000000p+0   ,+0x1.fffffffffffffp+1023] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.fffffffffffffp+1023] | [-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ] | [-0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ] | [-0x1.8000000000000p+1   ,+0x1.fffffffffffffp+1023]
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [+0x1.999999999999ap-4   ,+0x1.999999999999ap-4   ]
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [-0x1.999999999999ap-4   ,-0x1.999999999999ap-4   ]
[-0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [+0x1.999999999999ap-4   ,+0x1.999999999999ap-4   ]
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [+0x1.999999999999ap-4   ,+0x1.999999999999ap-4   ]
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [-0x1.999999999999ap-4   ,-0x1.999999999999ap-4   ]
[-0x1.000000p+1  ,+0x1.000000p+1  ] | [+0x1.99999ap-4  ,+0x1.99999ap-4  ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com | [+0x1.4000000000000p+2   ,+0x1.c000000000000p+2   ]_com
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com | [+0x1.4000000000000p+2   ,+0x1.c000000000000p+2   ]_def
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com | [+0x1.4000000000000p+2   ,+0x1.fffffffffffffp+1023]_com
[-0x1.fffffffffffffp+1023,+0x1.0000000000000p+1   ]_com | [-0x1.999999999999ap-4   ,+0x1.4000000000000p+2   ]_com
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv | []_trv
[]_ill | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ]_com | [+0x1.999999999999ap-4   ,+0x1.999999999999ap-4   ]_com
