# pi/2 up   = 0X1.921FB54442D19P+0
# pi/2 down = 0X1.921FB54442D18P+0
# denorm min = 0X1P-1022
# max = 0X1.FFFFFFFFFFFFFP+1023

*powRev1
#1
[] | [-inf,inf] | [-inf, inf]
[] | [-inf,inf] | [-inf, 0]
[] | [-inf,inf] | [-inf, 1]
[] | [-inf,inf] | [0, 0]
[] | [-inf,inf] | [0, 1]
[] | [-inf,inf] | [0, inf]
[] | [-inf,inf] | [1, 1]
[] | [-inf,inf] | [1, inf]

#2
[] | [1,inf] | [-inf, inf]
[] | [1,inf] | [-inf, 0]
[] | [1,inf] | [-inf, 1]
[] | [1,inf] | [0, 0]
[] | [1,inf] | [0, 1]
[] | [1,inf] | [0, inf]
[] | [1,inf] | [1, 1]
[] | [1,inf] | [1, inf]

#3
[] | [-inf,-1] | [-inf, inf]
[] | [-inf,-1] | [-inf, 0]
[] | [-inf,-1] | [-inf, 1]
[] | [-inf,-1] | [0, 0]
[] | [-inf,-1] | [0, 1]
[] | [-inf,-1] | [0, inf]
[] | [-inf,-1] | [1, 1]
[] | [-inf,-1] | [1, inf]

#4
[1,1] | [0,0] | [-inf,inf]
[1,1] | [0,0] | [-inf,0]
[1,1] | [0,0] | [-inf,1]
[1,1] | [0,0] | [0,0]
[1,1] | [0,0] | [0,1]
[1,1] | [0,0] | [0,inf]
[1,1] | [0,0] | [1,1]
[1,1] | [0,0] | [1,inf]

#5
[-inf,inf] | [-inf,-1] | [0,0]
[-inf,inf] | [1,inf]   | [0,0]
[-inf,-1]  | [-inf,-1] | [0,0]
[1,inf]    | [1,inf]   | [0,0]


