# Converted from libieeep1788/test/p1788/flavor/infsup/setbased/test_mpfr_bin_ieee754_flavor_bool_func.cpp
* equal
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[+0x1.0000000000000p+0   ,+0x1.0cccccccccccdp+1   ] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[] | []
[] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-inf                    ,+inf                    ] | [-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ] | [-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+inf                    ] | [+0x1.0000000000000p+0   ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ] | [+0x1.0000000000000p+0   ,+inf                    ]
[-inf                    ,+0x1.0000000000000p+1   ] | [-inf                    ,+0x1.0000000000000p+1   ]
[-inf                    ,+0x1.3333333333333p+1   ] | [-inf                    ,+0x1.0000000000000p+1   ]
[-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ] | [-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x1.000000p+0  ,+0x1.000000p+1  ]
[+0x1.0000000000000p+0   ,+0x1.0cccccccccccdp+1   ] | [+0x1.000000p+0  ,+0x1.000000p+1  ]
[] | []
[] | [+0x1.000000p+0  ,+0x1.000000p+1  ]
[-inf                    ,+inf                    ] | [-inf            ,+inf            ]
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ] | [-inf            ,+inf            ]
[+0x1.0000000000000p+0   ,+inf                    ] | [+0x1.000000p+0  ,+inf            ]
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ] | [+0x1.000000p+0  ,+inf            ]
[-inf                    ,+0x1.0000000000000p+1   ] | [-inf            ,+0x1.000000p+1  ]
[-inf                    ,+0x1.3333333333333p+1   ] | [-inf            ,+0x1.000000p+1  ]
[-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ] | [-0x1.000000p+1  ,+0x0.000000p+0  ]
[-0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ] | [+0x0.000000p+0  ,+0x1.000000p+1  ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ] | [+0x0.000000p+0  ,+0x0.000000p+0  ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ] | [+0x0.000000p+0  ,+0x0.000000p+0  ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ] | [+0x0.000000p+0  ,+0x0.000000p+0  ]
[+0x1.000000p+0  ,+0x1.000000p+1  ] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[+0x1.000000p+0  ,+0x1.0cccccp+1  ] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[] | []
[] | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-inf            ,+inf            ] | [-inf                    ,+inf                    ]
[+0x1.000000p+0  ,+0x1.333334p+1  ] | [-inf                    ,+inf                    ]
[+0x1.000000p+0  ,+inf            ] | [+0x1.0000000000000p+0   ,+inf                    ]
[+0x1.000000p+0  ,+0x1.333334p+1  ] | [+0x1.0000000000000p+0   ,+inf                    ]
[-inf            ,+0x1.000000p+1  ] | [-inf                    ,+0x1.0000000000000p+1   ]
[-inf            ,+0x1.333334p+1  ] | [-inf                    ,+0x1.0000000000000p+1   ]
[-0x1.000000p+1  ,+0x0.000000p+0  ] | [-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ]
[-0x0.000000p+0  ,+0x1.000000p+1  ] | [+0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x0.000000p+0  ,-0x0.000000p+0  ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.000000p+0  ,+0x0.000000p+0  ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.000000p+0  ,-0x0.000000p+0  ] | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_def | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[+0x1.0000000000000p+0   ,+0x1.0cccccccccccdp+1   ]_trv | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[]_trv | []_trv
[]_trv | []_ill
[]_ill | []_trv
[]_ill | []_ill
[]_trv | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[]_ill | [+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[-inf                    ,+inf                    ]_def | [-inf                    ,+inf                    ]_trv
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ]_trv | [-inf                    ,+inf                    ]_trv
[+0x1.0000000000000p+0   ,+inf                    ]_trv | [+0x1.0000000000000p+0   ,+inf                    ]_trv
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ]_def | [+0x1.0000000000000p+0   ,+inf                    ]_trv
[-inf                    ,+0x1.0000000000000p+1   ]_trv | [-inf                    ,+0x1.0000000000000p+1   ]_trv
[-inf                    ,+0x1.3333333333333p+1   ]_def | [-inf                    ,+0x1.0000000000000p+1   ]_trv
[-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ]_trv | [-0x1.0000000000000p+1   ,+0x0.0000000000000p+0   ]_trv
[-0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]_def | [+0x0.0000000000000p+0   ,+0x1.0000000000000p+1   ]_trv
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]_trv | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]_trv
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]_def | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]_trv
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]_trv | [+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]_trv
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]_com | [+0x1.000000p+0  ,+0x1.000000p+1  ]_trv
[+0x1.0000000000000p+0   ,+0x1.0cccccccccccdp+1   ]_trv | [+0x1.000000p+0  ,+0x1.000000p+1  ]_trv
[]_trv | []_trv
[]_trv | []_ill
[]_ill | []_trv
[]_ill | []_ill
[]_trv | [+0x1.000000p+0  ,+0x1.000000p+1  ]_trv
[]_ill | [+0x1.000000p+0  ,+0x1.000000p+1  ]_trv
[-inf                    ,+inf                    ]_trv | [-inf            ,+inf            ]_def
[+0x1.0000000000000p+0   ,+0x1.3333333333333p+1   ]_def | [-inf            ,+inf            ]_trv
[+0x1.0000000000000p+0   ,+inf                    ]_trv | [+0x1.000000p+0  ,+inf            ]_trv
