# Converted from libieeep1788/test/p1788/flavor/infsup/setbased/test_mpfr_bin_ieee754_flavor_cancel_func.cpp
* cancelPlus
[-inf                    ,-0x1.0000000000000p+0   ] | []
[-0x1.0000000000000p+0   ,+inf                    ] | []
[-inf                    ,+inf                    ] | []
[-inf                    ,-0x1.0000000000000p+0   ] | [-0x1.4000000000000p+2   ,+0x1.0000000000000p+0   ]
[-0x1.0000000000000p+0   ,+inf                    ] | [-0x1.4000000000000p+2   ,+0x1.0000000000000p+0   ]
[-inf                    ,+inf                    ] | [-0x1.4000000000000p+2   ,+0x1.0000000000000p+0   ]
[-inf                    ,-0x1.0000000000000p+0   ] | [-inf                    ,+inf                    ]
[-0x1.0000000000000p+0   ,+inf                    ] | [-inf                    ,+inf                    ]
[] | [+0x1.0000000000000p+0   ,+inf                    ]
[] | [-inf                    ,+0x1.0000000000000p+0   ]
[] | [-inf                    ,+inf                    ]
[-0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [+0x1.0000000000000p+0   ,+inf                    ]
[-0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-inf                    ,+0x1.0000000000000p+0   ]
[-0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-inf                    ,+inf                    ]
[-inf                    ,+inf                    ] | [+0x1.0000000000000p+0   ,+inf                    ]
[-inf                    ,+inf                    ] | [-inf                    ,+0x1.0000000000000p+0   ]
[-inf                    ,+inf                    ] | [-inf                    ,+inf                    ]
[-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ] | [+0x1.0000000000000p+0   ,+0x1.4666666666666p+2   ]
[-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ] | [+0x1.ccccccccccccdp-1   ,+0x1.4000000000000p+2   ]
[-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ] | [+0x1.ccccccccccccdp-1   ,+0x1.4666666666666p+2   ]
[-0x1.4000000000000p+3   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,+0x1.4333333333333p+3   ]
[-0x1.4000000000000p+3   ,+0x1.4000000000000p+2   ] | [-0x1.4666666666666p+2   ,+0x1.4000000000000p+3   ]
[-0x1.4000000000000p+3   ,+0x1.4000000000000p+2   ] | [-0x1.4666666666666p+2   ,+0x1.4333333333333p+3   ]
[+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,-0x1.ccccccccccccdp-1   ]
[+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-0x1.4666666666666p+2   ,-0x1.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-0x1.4666666666666p+2   ,-0x1.ccccccccccccdp-1   ]
[-0x1.4000000000000p+3   ,-0x1.0000000000000p+0   ] | []
[-0x1.4000000000000p+3   ,+0x1.4000000000000p+2   ] | []
[+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | []
[] | []
[] | [+0x1.0000000000000p+0   ,+0x1.4000000000000p+3   ]
[] | [-0x1.4000000000000p+2   ,+0x1.4000000000000p+3   ]
[] | [-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ]
[-0x1.4666666666666p+2   ,-0x0.0000000000000p+0   ] | [+0x0.0000000000000p+0   ,+0x1.4000000000000p+2   ]
[-0x1.4666666666666p+2   ,-0x1.0000000000000p+0   ] | [+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ]
[-0x1.4000000000000p+2   ,-0x1.ccccccccccccdp-1   ] | [+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ]
[-0x1.4666666666666p+2   ,-0x1.ccccccccccccdp-1   ] | [+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ]
[-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ] | [+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ]
[-0x1.4333333333333p+3   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,+0x1.4000000000000p+3   ]
[-0x1.4000000000000p+3   ,+0x1.4666666666666p+2   ] | [-0x1.4000000000000p+2   ,+0x1.4000000000000p+3   ]
[-0x1.4333333333333p+3   ,+0x1.4666666666666p+2   ] | [-0x1.4000000000000p+2   ,+0x1.4000000000000p+3   ]
[-0x1.4000000000000p+3   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,+0x1.4000000000000p+3   ]
[+0x1.ccccccccccccdp-1   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.4666666666666p+2   ] | [-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x1.4666666666666p+2   ] | [-0x1.4000000000000p+2   ,-0x0.0000000000000p+0   ]
[+0x1.ccccccccccccdp-1   ,+0x1.4666666666666p+2   ] | [-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ]
[+0x1.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,-0x1.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x1.4000000000000p+2   ] | [-0x1.4000000000000p+2   ,-0x0.0000000000000p+0   ]
[+0x1.ffffffffffff0p+0   ,+0x1.ffffffffffff0p+0   ] | [-0x1.999999999999ap-4   ,-0x1.999999999999ap-4   ]
[-0x1.999999999999ap-4   ,+0x1.ffffffffffff0p+0   ] | [-0x1.999999999999ap-4   ,+0x1.47ae147ae147bp-7   ]
[+0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023] | [+0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023]
[-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023] | [-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023]
[-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023] | [-0x1.ffffffffffffep+1023,+0x1.fffffffffffffp+1023]
[-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023] | [-0x1.fffffffffffffp+1023,+0x1.ffffffffffffep+1023]
[-0x1.fffffffffffffp+1023,+0x1.ffffffffffffep+1023] | [-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023]
[-0x1.ffffffffffffep+1023,+0x1.fffffffffffffp+1023] | [-0x1.fffffffffffffp+1023,+0x1.fffffffffffffp+1023]
[-0x1.0000000000000p+0   ,+0x1.fffffffffffffp-53  ] | [-0x1.0000000000000p+0   ,+0x1.ffffffffffffep-53  ]
[-0x1.0000000000000p+0   ,+0x1.ffffffffffffep-53  ] | [-0x1.0000000000000p+0   ,+0x1.fffffffffffffp-53  ]
