# Converted from libieeep1788/test/p1788/flavor/infsup/setbased/test_mpfr_bin_ieee754_flavor_num_func.cpp
* inf
[]
[-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x1.8000000000000p+1   ,-0x1.0000000000000p+1   ]
[-inf                    ,+0x1.0000000000000p+1   ]
[-inf                    ,+0x0.0000000000000p+0   ]
[-inf                    ,-0x0.0000000000000p+0   ]
[-0x1.0000000000000p+1   ,+inf                    ]
[+0x0.0000000000000p+0   ,+inf                    ]
[+0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[]
[-inf                    ,+inf                    ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+1   ]
[-0x1.8000000000000p+1   ,-0x1.0000000000000p+1   ]
[-inf                    ,+0x1.0000000000000p+1   ]
[-inf                    ,+0x0.0000000000000p+0   ]
[-inf                    ,-0x0.0000000000000p+0   ]
[-0x1.0000000000000p+1   ,+inf                    ]
[+0x0.0000000000000p+0   ,+inf                    ]
[+0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+inf                    ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[+0x0.0000000000000p+0   ,+0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[-0x0.0000000000000p+0   ,-0x0.0000000000000p+0   ]
[-0x0.0000000000001p-1022,+0x0.0000000000001p-1022]
