# Converted from libieeep1788/test/p1788/flavor/infsup/setbased/test_mpfr_bin_ieee754_flavor_set_op.cpp
* intersection
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | []
[-inf                    ,+inf                    ] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [-inf                    ,+inf                    ]
[-0x1.000000p+0  ,+0x1.800000p+1  ] | [+0x0.0000000000001p-1022,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.800000p+1  ] | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.800000p+1  ] | []
[-inf                    ,+inf                    ] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [-inf            ,+inf            ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_com | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_com
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_dac | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]_def
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_def | []_trv
[-inf                    ,+inf                    ]_dac | []_trv
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_dac | [-inf                    ,+inf                    ]_dac
[-0x1.000000p+0  ,+0x1.800000p+1  ]_com | [+0x0.0000000000001p-1022,+0x1.0000000000000p+2   ]_com
[+0x1.000000p+0  ,+0x1.800000p+1  ]_dac | [+0x1.8000000000000p+1   ,+0x1.0000000000000p+2   ]_def
[+0x1.000000p+0  ,+0x1.800000p+1  ]_def | []_trv
[-inf                    ,+inf                    ]_dac | []_trv
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_dac | [-inf            ,+inf            ]_dac
* convexHull
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | []
[] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [-inf                    ,+inf                    ]
[+0x0.0000000000001p-1022,+0x1.8000000000000p+1   ] | [+0x1.e666666666666p+1   ,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.000000p+0  ] | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]
[+0x1.000000p+0  ,+0x1.800000p+1  ] | []
[] | []
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ] | [-inf            ,+inf            ]
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_trv | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_trv
[+0x1.0000000000000p+0   ,+0x1.0000000000000p+0   ]_trv | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_trv
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_trv | []_trv
[]_trv | []_trv
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_trv | [-inf                    ,+inf                    ]_dac
[+0x0.0000000000001p-1022,+0x1.8000000000000p+1   ]_trv | [+0x1.e666666666666p+1   ,+0x1.0000000000000p+2   ]_trv
[+0x1.000000p+0  ,+0x1.000000p+0  ]_trv | [+0x1.0cccccccccccdp+1   ,+0x1.0000000000000p+2   ]_trv
[+0x1.000000p+0  ,+0x1.800000p+1  ]_trv | []_trv
[]_trv | []_trv
[+0x1.0000000000000p+0   ,+0x1.8000000000000p+1   ]_trv | [-inf            ,+inf            ]_dac
