* atan2Rev1
[-inf,inf] | [-inf,-4] | [-inf,inf]

[-inf,-3]  | [-inf,-3] | [-inf,inf]
[-inf,0]   | [-inf,-3] | [-inf,inf]
[-inf,3]   | [-inf,-3] | [-inf,inf]
[-inf,inf] | [-inf,-3] | [-inf,inf]
[-4,-3]    | [-inf,-3] | [-inf,inf]
[-4,0]     | [-inf,-3] | [-inf,inf]
[-4,3]     | [-inf,-3] | [-inf,inf]
[-4,inf]   | [-inf,-3] | [-inf,inf]
[0,0]      | [-inf,-3] | [-inf,inf]
[0,3]      | [-inf,-3] | [-inf,inf]
[0,inf]    | [-inf,-3] | [-inf,inf]
[3,4]      | [-inf,-3] | [-inf,inf]
[3,inf]    | [-inf,-3] | [-inf,inf]

[-inf,-3]  | [  -3,-2] | [-inf,inf]
[-inf,0]   | [  -3,-2] | [-inf,inf]
[-inf,3]   | [  -3,-2] | [-inf,inf]
[-inf,inf] | [  -3,-2] | [-inf,inf]
[-4,-3]    | [  -3,-2] | [-inf,inf]
[-4,0]     | [  -3,-2] | [-inf,inf]
[-4,3]     | [  -3,-2] | [-inf,inf]
[-4,inf]   | [  -3,-2] | [-inf,inf]
[0,0]      | [  -3,-2] | [-inf,inf]
[0,3]      | [  -3,-2] | [-inf,inf]
[0,inf]    | [  -3,-2] | [-inf,inf]
[3,4]      | [  -3,-2] | [-inf,inf]
[3,inf]    | [  -3,-2] | [-inf,inf]

[-inf,-3]  | [  -2,-1] | [-inf,inf]
[-inf,0]   | [  -2,-1] | [-inf,inf]
[-inf,3]   | [  -2,-1] | [-inf,inf]
[-inf,inf] | [  -2,-1] | [-inf,inf]
[-4,-3]    | [  -2,-1] | [-inf,inf]
[-4,0]     | [  -2,-1] | [-inf,inf]
[-4,3]     | [  -2,-1] | [-inf,inf]
[-4,inf]   | [  -2,-1] | [-inf,inf]
[0,0]      | [  -2,-1] | [-inf,inf]
[0,3]      | [  -2,-1] | [-inf,inf]
[0,inf]    | [  -2,-1] | [-inf,inf]
[3,4]      | [  -2,-1] | [-inf,inf]
[3,inf]    | [  -2,-1] | [-inf,inf]

[-inf,-3]  | [  -1, 0] | [-inf,inf]
[-inf,0]   | [  -1, 0] | [-inf,inf]
[-inf,3]   | [  -1, 0] | [-inf,inf]
[-inf,inf] | [  -1, 0] | [-inf,inf]
[-4,-3]    | [  -1, 0] | [-inf,inf]
[-4,0]     | [  -1, 0] | [-inf,inf]
[-4,3]     | [  -1, 0] | [-inf,inf]
[-4,inf]   | [  -1, 0] | [-inf,inf]
[0,0]      | [  -1, 0] | [-inf,inf]
[0,3]      | [  -1, 0] | [-inf,inf]
[0,inf]    | [  -1, 0] | [-inf,inf]
[3,4]      | [  -1, 0] | [-inf,inf]
[3,inf]    | [  -1, 0] | [-inf,inf]

[-inf,-3]  | [  -1, 1] | [-inf,inf]
[-inf,0]   | [  -1, 1] | [-inf,inf]
[-inf,3]   | [  -1, 1] | [-inf,inf]
[-inf,inf] | [  -1, 1] | [-inf,inf]
[-4,-3]    | [  -1, 1] | [-inf,inf]
[-4,0]     | [  -1, 1] | [-inf,inf]
[-4,3]     | [  -1, 1] | [-inf,inf]
[-4,inf]   | [  -1, 1] | [-inf,inf]
[0,0]      | [  -1, 1] | [-inf,inf]
[0,3]      | [  -1, 1] | [-inf,inf]
[0,inf]    | [  -1, 1] | [-inf,inf]
[3,4]      | [  -1, 1] | [-inf,inf]
[3,inf]    | [  -1, 1] | [-inf,inf]

[-inf,-3]  | [   0, 0] | [-inf,inf]
[-inf,0]   | [   0, 0] | [-inf,inf]
[-inf,3]   | [   0, 0] | [-inf,inf]
[-inf,inf] | [   0, 0] | [-inf,inf]
[-4,-3]    | [   0, 0] | [-inf,inf]
[-4,0]     | [   0, 0] | [-inf,inf]
[-4,3]     | [   0, 0] | [-inf,inf]
[-4,inf]   | [   0, 0] | [-inf,inf]
[0,0]      | [   0, 0] | [-inf,inf]
[0,3]      | [   0, 0] | [-inf,inf]
[0,inf]    | [   0, 0] | [-inf,inf]
[3,4]      | [   0, 0] | [-inf,inf]
[3,inf]    | [   0, 0] | [-inf,inf]

[-inf,-3]  | [   0, 1] | [-inf,inf]
